file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\signer\OSSV2Signer.java,com.aliyun.oss.internal.signer.OSSV2Signer,addAuthorizationHeader/1[com.aliyun.oss.common.comm.RequestMessage],false,18,5,8,0,8,1,9,8,0,4,1,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\signer\OSSV2Signer.java,com.aliyun.oss.internal.signer.OSSV2Signer,OSSV2Signer/1[com.aliyun.oss.internal.signer.OSSSignerParams],true,13,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\crypto\SdkRuntime.java,com.aliyun.oss.crypto.SdkRuntime,shouldAbort/0,false,30,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\parser\RequestMarshallers.java,com.aliyun.oss.common.parser.RequestMarshallers$CreateBucketRequestMarshaller,marshall/1[com.aliyun.oss.model.CreateBucketRequest],false,213,5,7,1,6,7,8,17,1,1,1,8,0,0,0,6,0,0,8,0,1,3,2,0,0,0,22,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\RequestTimeoutTest.java,com.aliyun.oss.integrationtests.RequestTimeoutTest$OperationThread,OperationThread/1[java.lang.String],true,300,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\RequestTimeoutTest.java,com.aliyun.oss.integrationtests.RequestTimeoutTest$OperationThread,run/0,false,304,2,1,0,1,3,9,14,0,2,0,9,0,0,1,0,1,0,0,4,2,1,2,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\parser\RequestMarshallers.java,com.aliyun.oss.common.parser.RequestMarshallers$PutBucketTransferAccelerationRequestMarshaller,marshall/1[com.aliyun.oss.model.SetBucketTransferAccelerationRequest],false,1725,3,3,1,2,2,6,14,1,2,1,6,0,0,0,0,1,0,3,0,3,1,1,0,0,0,36,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,"read/3[byte[],int,int]",false,199,2,2,1,1,4,4,15,2,2,3,4,1,2,0,1,0,0,0,3,3,1,3,0,0,0,14,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,"validateCheckSum/2[byte[],java.util.zip.CRC32]",false,89,2,2,1,1,4,4,9,0,1,2,4,0,0,0,1,0,1,2,1,1,1,2,0,0,0,21,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,read/1[byte[]],false,194,2,1,0,1,1,1,3,1,0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,setRequestId/1[java.lang.String],false,220,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,"internalRead/3[byte[],int,int]",false,78,2,2,1,1,3,1,10,0,2,3,1,0,0,1,0,0,1,2,2,3,4,2,0,0,0,14,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,available/0,false,216,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,read/0,false,181,1,1,0,1,3,3,11,1,1,0,3,1,2,0,0,0,0,0,1,1,0,2,0,0,0,12,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,"SelectInputStream/3[java.io.InputStream,com.aliyun.oss.event.ProgressListener,boolean]",true,58,2,1,1,0,2,1,19,0,0,3,1,0,0,0,0,0,0,0,7,13,0,1,0,0,0,42,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,readFrame/0,false,99,5,6,2,4,17,11,74,0,9,0,11,2,1,1,2,0,1,8,32,19,7,4,0,0,0,58,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\parser\RequestMarshallers.java,com.aliyun.oss.common.parser.RequestMarshallers$AddBucketCnameRequestMarshaller,marshall/1[com.aliyun.oss.model.AddBucketCnameRequest],false,977,5,11,1,10,9,14,47,1,3,1,14,0,0,0,6,1,0,20,0,4,3,2,0,0,0,46,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\VpcipTest.java,com.aliyun.oss.integrationtests.VpcipTest,testAutoVpcip/0,false,44,6,0,0,0,3,17,32,0,7,0,17,0,0,1,0,1,0,0,0,7,0,2,0,0,0,28,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\VpcipTest.java,com.aliyun.oss.integrationtests.VpcipTest,testAutoBucketVpcip/0,false,81,9,0,0,0,6,23,66,0,12,0,23,0,0,2,1,2,0,0,2,12,0,3,0,0,0,33,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\VpcipTest.java,com.aliyun.oss.integrationtests.VpcipTest,testNonVpcEnvironment/0,false,152,7,0,0,0,7,12,54,0,8,0,12,0,0,0,0,6,0,6,0,8,0,1,0,0,0,29,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\comm\ExecutionContext.java,com.aliyun.oss.common.comm.ExecutionContext,"insertSignerHandler/2[int,com.aliyun.oss.common.auth.RequestSigner]",false,117,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\comm\ExecutionContext.java,com.aliyun.oss.common.comm.ExecutionContext,getSigner/0,false,69,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\comm\ExecutionContext.java,com.aliyun.oss.common.comm.ExecutionContext,getRetryStrategy/0,false,53,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
