file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,class,8,13,5,8,40,1,0,22,0,0.78137654,0.0,0.0,13,0,6,4,0,3,9,0,0,0,19,0,0,5,0,14,4,0,0,205,11,9,17,0,4,1,35,74,11,54,3,0,0,0,182,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\support\jaxrs\FastJsonProvider.java,com.alibaba.fastjson.support.jaxrs.FastJsonProvider,class,18,20,2,18,42,1,0,30,67,0.8869566,0.0,0.0,23,0,19,0,4,0,23,0,0,0,10,2,2,3,5,0,2,0,5,138,25,2,9,2,8,8,3,19,0,16,3,0,0,0,165,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$PropertySegment,innerclass,9,9,0,9,54,1,0,22,0,0.06666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,1,208,6,2,13,0,0,2,2,27,1,13,6,0,0,0,40,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\serializer\AwtCodec.java,com.alibaba.fastjson.serializer.AwtCodec,class,11,14,3,11,67,1,0,41,45,1.0,0.0,0.0,10,1,4,1,5,0,9,0,0,0,1,1,1,0,0,0,1,0,0,303,12,4,32,0,0,46,13,61,7,38,3,0,0,0,68,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\support\jaxrs\FastJsonFeature.java,com.alibaba.fastjson.support.jaxrs.FastJsonFeature,class,7,9,2,7,4,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,19,2,0,0,1,0,0,0,3,0,3,2,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$IntOpSegement,innerclass,4,4,0,4,40,2,0,8,0,0.3,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,0,5,0,0,2,0,4,100,30,0,12,0,1,0,18,10,0,10,2,0,0,0,28,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\util\ASMUtils.java,com.alibaba.fastjson.util.ASMUtils,class,6,13,7,6,40,1,0,35,28,0.9375,0.0,0.0,8,8,8,0,0,0,8,0,0,0,2,2,2,0,0,0,2,0,13,158,27,4,16,2,1,20,12,34,7,28,6,0,0,0,73,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,class,35,73,38,35,409,15,0,129,404,0.8724954,0.0,0.0,61,26,41,1,14,5,60,0,0,0,9,3,0,7,0,2,3,0,72,3522,171,37,150,12,26,53,71,316,46,241,6,0,34,0,264,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\parser\JSONScanner.java,com.alibaba.fastjson.parser.JSONScanner,class,9,23,14,9,689,2,0,51,363,0.5882353,0.0,0.0,51,2,41,3,5,2,48,0,18,0,2,0,0,2,0,0,2,0,50,2325,184,71,368,0,63,27,211,677,183,187,7,0,0,0,222,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$FloorSegment,innerclass,6,6,0,6,15,1,0,7,3,1.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,4,39,7,1,2,0,2,0,2,6,0,6,3,0,0,0,36,8,0
