file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,toByteArray/0,false,188,4,10,2,8,6,7,42,1,9,0,7,0,0,5,4,0,0,0,9,18,2,1,0,0,0,41,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,"newFieldItem/3[java.lang.String,java.lang.String,java.lang.String]",false,299,3,9,1,8,2,7,11,1,3,3,7,4,4,0,1,0,0,0,2,4,0,1,0,0,0,35,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,"visit/5[int,int,java.lang.String,java.lang.String,java.lang.String[]]",false,164,2,3,2,1,5,1,14,0,1,5,1,1,3,1,2,0,0,0,3,9,0,2,0,0,0,15,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,newUTF8/1[java.lang.String],false,268,3,13,7,6,2,5,10,1,1,1,5,2,1,0,1,0,0,0,2,2,0,1,0,0,0,12,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,get/1[com.alibaba.fastjson.asm.Item],false,361,1,8,7,1,4,1,7,1,1,1,1,0,0,1,2,0,1,0,0,2,1,1,0,0,0,5,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,put/1[com.alibaba.fastjson.asm.Item],false,369,1,7,7,0,4,0,22,0,8,1,0,0,0,2,1,0,1,0,5,15,6,3,0,0,0,14,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,ClassWriter/0,true,146,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,newString/1[java.lang.String],false,336,3,7,1,6,2,5,10,1,1,1,5,3,2,0,1,0,0,0,2,2,0,1,0,0,0,10,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,newClassItem/1[java.lang.String],false,279,3,12,6,6,2,5,10,1,1,1,5,3,2,0,1,0,0,0,2,2,0,1,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\fastjson-master\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,ClassWriter/1[int],true,150,2,2,0,2,1,0,9,0,0,1,0,0,0,0,0,0,1,0,3,7,1,0,0,0,0,13,2,0,false
