file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\test\groovy\readme\SubscriptionExamples.java,readme.SubscriptionExamples,processStockPriceChange/1[java.lang.Object],false,95,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\test\groovy\readme\SubscriptionExamples.java,readme.SubscriptionExamples,buildPublisherForStockCode/1[java.lang.String],false,91,2,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\test\groovy\readme\SubscriptionExamples.java,readme.SubscriptionExamples,basicSubscriptionExample/0,false,19,7,6,0,6,1,6,22,0,5,0,6,0,0,0,0,0,0,9,0,5,1,0,1,0,0,32,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\test\groovy\readme\SubscriptionExamples.java,readme.SubscriptionExamples,dataFetcherExample/0,false,78,2,1,0,1,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,16,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,objectValueWithVariable/0,false,4473,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,getRuleIndex/0,false,4479,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,variable/0,false,4459,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,NullValue/0,false,4466,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,arrayValueWithVariable/0,false,4470,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,FloatValue/0,false,4464,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,enterRule/1[graphql.parser.antlr.ParseTreeListener],false,4481,2,1,0,1,2,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,accept/1[graphql.parser.antlr.ParseTreeVisitor<? extends T>],false,4489,4,1,0,1,2,2,4,2,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,false
