file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,class,7,7,0,7,10,3,0,22,45,0.0,0.0,0.0,10,0,9,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,48,60,1,0,0,0,0,20,33,0,0,0,0,1,1,0,49,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\collection\IsIterableContainingInRelativeOrderTest.java,org.hamcrest.collection.IsIterableContainingInRelativeOrderTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\xml\HasXPath.java,org.hamcrest.xml.HasXPath$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,2,0,1,0,0,1,0,0,0,0,1,0,0,0,11,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\CustomMatcherTest.java,org.hamcrest.CustomMatcherTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\NullDescriptionTest.java,org.hamcrest.NullDescriptionTest,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,2,0,1,0,1,0,0,0,0,11,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,class,4,4,0,4,8,1,0,9,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,32,0,0,0,0,0,18,0,5,0,5,0,0,0,0,44,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\collection\IsArrayContainingInOrder.java,org.hamcrest.collection.IsArrayContainingInOrder,class,8,10,2,8,8,3,0,8,9,0.5714286,0.0,0.0,7,3,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,6,30,4,1,0,0,0,3,0,3,0,3,1,0,0,0,66,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\beans\SamePropertyValuesAsTest.java,org.hamcrest.beans.SamePropertyValuesAsTest,class,7,7,0,7,11,5,0,6,0,0.42424247,0.0,0.0,11,0,10,0,1,0,11,0,0,0,3,3,0,3,0,0,3,0,27,88,1,0,0,0,0,35,10,6,0,6,0,0,4,0,67,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\collection\IsArrayWithSize.java,org.hamcrest.collection.IsArrayWithSize,class,6,9,3,6,5,4,0,4,10,0.0,0.0,0.0,5,3,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,4,17,4,0,0,0,0,3,1,0,0,0,0,0,0,0,47,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\AbstractMatcherTest.java,org.hamcrest.AbstractMatcherTest,class,7,72,65,7,15,2,38,15,66,0.0,0.0,0.0,12,9,10,1,1,0,11,1,0,0,0,0,0,0,0,0,0,0,5,55,1,0,0,2,0,9,0,2,2,2,1,0,1,0,54,1025,0
