file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testComparesObjectsForLessThan/0,false,45,2,2,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testComparesObjectsForGreaterThan/0,false,40,3,3,0,3,1,3,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testAllowsForInclusiveComparisons/0,false,55,2,3,0,3,1,3,4,0,0,0,3,0,0,0,0,0,0,2,4,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,createMatcher/0,false,16,2,3,0,3,1,2,8,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testComparesCustomTypesWhoseCompareToReturnsValuesGreaterThatOne/0,false,71,3,3,0,3,1,2,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testSupportsDifferentTypesOfComparableObjects/0,false,60,2,4,0,4,1,4,4,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testMismatchDescriptions/0,false,33,2,3,0,3,1,3,6,0,0,0,3,0,0,0,0,0,0,4,8,0,0,0,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testDescription/0,false,25,2,6,0,6,1,6,7,0,0,0,6,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testComparesObjectsForEquality/0,false,50,2,4,0,4,1,4,4,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\comparator\ComparatorMatcherTest.java,org.hamcrest.comparator.ComparatorMatcherTest,testComparesBigDecimalsWithDifferentScalesCorrectlyForIssue20/0,false,65,2,3,0,3,1,3,5,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\collection\IsIterableContainingInRelativeOrderTest.java,org.hamcrest.collection.IsIterableContainingInRelativeOrderTest$Anonymous1,featureValueOf/1[org.hamcrest.collection.IsIterableContainingInRelativeOrderTest.WithValue],false,91,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\xml\HasXPath.java,org.hamcrest.xml.HasXPath$Anonymous1,"apply/2[java.lang.Object,org.hamcrest.Description]",false,87,2,3,0,3,2,4,7,2,0,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\CustomMatcherTest.java,org.hamcrest.CustomMatcherTest$Anonymous1,matches/1[java.lang.Object],false,13,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\NullDescriptionTest.java,org.hamcrest.NullDescriptionTest,isUnchangedByAppendedText/0,false,13,2,2,0,2,1,3,4,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,doesNotMatchSubstring/0,false,33,3,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,describesAMismatch/0,false,44,4,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,doesNotMatchADifferentString/0,false,28,3,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,copesWithNullsAndUnknownTypes/0,false,15,4,3,0,3,1,3,5,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,hasAReadableDescription/0,false,38,4,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,14,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,factoryMethodAllowsCreationWithString/0,false,56,4,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,matchesExactString/0,false,23,2,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\test\java\org\hamcrest\object\MatchesPatternTest.java,org.hamcrest.object.MatchesPatternTest,factoryMethodAllowsCreationWithPattern/0,false,50,4,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\collection\IsArrayContainingInOrder.java,org.hamcrest.collection.IsArrayContainingInOrder,arrayContaining/1[org.hamcrest.Matcher<? super E>[]],false,80,3,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\collection\IsArrayContainingInOrder.java,org.hamcrest.collection.IsArrayContainingInOrder,"describeMismatchSafely/2[E[],org.hamcrest.Description]",false,33,3,1,0,1,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\collection\IsArrayContainingInOrder.java,org.hamcrest.collection.IsArrayContainingInOrder,matchesSafely/1[E[]],false,28,2,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\JavaHamcrest-master\hamcrest\src\main\java\org\hamcrest\collection\IsArrayContainingInOrder.java,org.hamcrest.collection.IsArrayContainingInOrder,describeTo/1[org.hamcrest.Description],false,38,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
