file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\internal\SillyTests.java,com.notnoop.apns.internal.SillyTests,testFeedbackCalls/0,false,45,4,3,0,3,1,10,8,0,3,0,10,0,0,0,0,0,0,1,1,3,0,0,0,0,0,16,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\internal\SillyTests.java,com.notnoop.apns.internal.SillyTests,testQueuedFeedbackCalls/0,false,60,4,4,0,4,1,10,9,0,4,0,10,0,0,0,0,0,0,1,1,4,0,0,0,0,0,18,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,"returnError/2[com.notnoop.apns.DeliveryError,int]",false,68,2,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,getAction/0,false,52,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,getError/0,false,56,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,getErrorId/0,false,60,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,"ApnsResponse/3[com.notnoop.apns.utils.Simulator.Action,com.notnoop.apns.DeliveryError,int]",true,42,2,4,4,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,doNothing/0,false,64,1,3,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,isDoNothing/0,false,48,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,"returnErrorAndShutdown/2[com.notnoop.apns.DeliveryError,com.notnoop.apns.ApnsNotification]",false,76,3,3,1,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\utils\Simulator\ApnsResponse.java,com.notnoop.apns.utils.Simulator.ApnsResponse,"returnErrorAndShutdown/2[com.notnoop.apns.DeliveryError,int]",false,72,2,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\java-apns-master\src\test\java\com\notnoop\apns\internal\MockingUtils.java,com.notnoop.apns.internal.MockingUtils$DynamicMockSocketClosed,DynamicMockSocketClosed/1[java.net.Socket],true,112,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
