file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,getLogCounter/0,false,64,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,LoggingHandler/0,true,55,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,(initializer 1),false,46,1,7,0,7,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,"addErrorLogToCounter/2[java.lang.String,java.lang.Throwable]",false,68,1,4,3,1,2,3,10,0,1,2,3,1,1,0,1,0,0,0,1,1,0,1,0,0,0,12,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,flush/0,false,133,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,register/0,false,84,1,5,4,1,2,3,5,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,close/0,false,125,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,deregister/0,false,90,1,5,4,1,2,3,5,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,"addErrorLogToCounter/2[java.lang.String,java.lang.String]",false,78,1,4,2,2,2,2,5,0,0,2,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,8,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,getLoggerNames/0,false,96,0,2,2,0,3,3,10,1,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0,0,0,8,2,0,false
