file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,class,15,38,23,15,23,3,0,13,86,0.6875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,0,0,3,82,16,0,7,0,0,14,0,2,0,2,1,0,0,0,67,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\stmt\WhileStmt.java,com.github.javaparser.ast.stmt.WhileStmt,class,18,40,22,18,23,3,0,15,86,0.6875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,0,0,3,82,16,0,7,0,0,14,0,2,0,2,1,0,0,0,60,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\printer\concretesyntaxmodel\CsmSequence.java,com.github.javaparser.printer.concretesyntaxmodel.CsmSequence,class,3,5,2,3,6,1,0,8,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,21,2,0,1,0,0,4,0,1,0,3,1,0,0,2,24,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\stmt\UnparsableStmt.java,com.github.javaparser.ast.stmt.UnparsableStmt,class,13,35,22,13,11,3,0,6,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,36,7,0,0,0,0,9,0,0,0,0,0,0,0,0,52,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\printer\Printer.java,com.github.javaparser.printer.Printer,interface,3,9,6,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\nodeTypes\NodeWithBlockStmt.java,com.github.javaparser.ast.nodeTypes.NodeWithBlockStmt,interface,3,9,6,3,3,1,0,1,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\printer\concretesyntaxmodel\CsmToken.java,com.github.javaparser.printer.concretesyntaxmodel.CsmToken$TokenContentCalculator,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\printer\SourcePrinter.java,com.github.javaparser.printer.SourcePrinter,class,10,32,22,10,35,1,0,32,85,0.8223684,0.0,0.0,19,0,13,2,0,4,17,0,0,0,8,0,0,8,0,0,3,0,1,139,11,4,0,0,2,7,5,23,9,17,1,0,0,0,174,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\LiteralExpr.java,com.github.javaparser.ast.expr.LiteralExpr,class,9,15,6,9,8,3,3,4,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,27,5,0,0,0,0,7,0,0,0,0,0,0,0,0,37,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\CharLiteralExpr.java,com.github.javaparser.ast.expr.CharLiteralExpr,class,14,37,23,14,15,5,0,11,105,0.0,0.0,0.0,15,1,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,49,9,0,0,0,0,10,1,1,0,0,0,0,0,0,59,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\type\Type.java,com.github.javaparser.ast.type.Type,class,25,88,63,25,67,2,8,18,1681,0.89830506,0.0,0.0,59,0,58,0,1,0,59,2,0,0,1,0,0,1,0,0,0,0,23,193,37,2,6,0,0,63,3,3,0,3,2,0,0,0,91,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\visitor\EqualsVisitor.java,com.github.javaparser.ast.visitor.EqualsVisitor,class,113,115,2,113,468,1,0,287,5886,0.9908257,0.0,0.0,109,1,101,8,0,0,101,0,0,0,1,1,0,1,0,0,1,0,0,816,462,2,15,0,0,0,2,102,0,102,2,0,0,0,164,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\printer\lexicalpreservation\RemovedGroup.java,com.github.javaparser.printer.lexicalpreservation.RemovedGroup$Anonymous1,anonymous,1,1,0,1,4,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,1,0,0,0,1,1,0,1,0,0,0,0,7,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\utils\VisitorMap.java,com.github.javaparser.utils.VisitorMap$EqualsHashcodeOverridingFacade,innerclass,8,8,0,8,7,1,0,2,4,0.4,0.0,0.0,5,0,4,0,0,1,5,0,1,0,1,0,0,1,0,0,1,0,0,21,3,0,1,0,2,0,0,1,0,1,1,0,0,0,20,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\nodeTypes\NodeWithRange.java,com.github.javaparser.ast.nodeTypes.NodeWithRange,interface,5,10,5,5,9,1,0,9,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,2,1,0,0,2,69,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\Node.java,com.github.javaparser.ast.Node$Anonymous4,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\Node.java,com.github.javaparser.ast.Node$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
