file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,clone/0,false,121,3,2,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,"replace/2[com.github.javaparser.ast.Node,com.github.javaparser.ast.Node]",false,133,4,2,0,2,4,3,14,4,0,2,3,2,1,0,3,0,0,1,0,0,0,1,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,"ArrayAccessExpr/3[com.github.javaparser.TokenRange,com.github.javaparser.ast.expr.Expression,com.github.javaparser.ast.expr.Expression]",true,62,5,5,2,3,1,3,6,0,0,3,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,22,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,setIndex/1[com.github.javaparser.ast.expr.Expression],false,92,5,7,3,4,3,4,11,2,0,1,4,0,0,0,2,0,0,1,0,1,0,1,0,0,0,18,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,getMetaModel/0,false,127,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,ArrayAccessExpr/0,true,49,2,2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,"ArrayAccessExpr/2[com.github.javaparser.ast.expr.Expression,com.github.javaparser.ast.expr.Expression]",true,54,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,ifArrayAccessExpr/1[java.util.function.Consumer<com.github.javaparser.ast.expr.ArrayAccessExpr>],false,162,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,asArrayAccessExpr/0,false,156,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\ast\expr\ArrayAccessExpr.java,com.github.javaparser.ast.expr.ArrayAccessExpr,isArrayAccessExpr/0,false,150,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
