file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,parseBuckets/1[io.searchbox.core.search.aggregation.JsonArray],false,44,3,3,1,2,3,6,11,0,1,1,6,0,0,1,0,0,0,0,0,1,0,2,0,0,0,25,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,"TermsAggregation/2[java.lang.String,io.searchbox.core.search.aggregation.JsonObject]",true,30,2,3,2,1,5,7,12,0,0,2,7,1,1,0,0,0,0,0,0,2,0,1,0,0,0,28,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,getSumOtherDocCount/0,false,59,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,hashCode/0,false,133,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,equals/1[java.lang.Object],false,114,1,0,0,0,4,3,13,4,1,1,3,0,0,0,3,0,0,0,0,1,0,1,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,getBuckets/0,false,63,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,getDocCountErrorUpperBound/0,false,55,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\client\JestResultHandler.java,io.searchbox.client.JestResultHandler,failed/1[java.lang.Exception],false,11,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\client\JestResultHandler.java,io.searchbox.client.JestResultHandler,completed/1[T],false,9,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\cluster\NodesStatsTest.java,io.searchbox.cluster.NodesStatsTest,testUriGenerationWithSingleNode/0,false,21,5,6,0,6,1,6,4,0,1,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\cluster\NodesStatsTest.java,io.searchbox.cluster.NodesStatsTest,testUriGeneration/0,false,14,4,3,0,3,1,3,4,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\snapshot\SnapshotStatus.java,io.searchbox.snapshot.SnapshotStatus$Builder,Builder/1[java.lang.String],true,25,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\snapshot\SnapshotStatus.java,io.searchbox.snapshot.SnapshotStatus$Builder,build/0,false,30,1,3,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\snapshot\CreateSnapshotRepositoryTest.java,io.searchbox.snapshot.CreateSnapshotRepositoryTest,testVerifyParam/0,false,53,4,4,0,4,1,4,4,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\snapshot\CreateSnapshotRepositoryTest.java,io.searchbox.snapshot.CreateSnapshotRepositoryTest,testBasicUriGeneration/0,false,22,5,6,0,6,1,7,16,0,4,0,7,0,0,0,0,0,0,25,0,4,2,0,0,0,0,23,1,0,false
