file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestAnnotationJsonProperty.java,com.jsoniter.TestAnnotationJsonProperty$TestObject11,getField/0,false,172,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestAnnotationJsonProperty.java,com.jsoniter.TestAnnotationJsonProperty$TestObject11,setField/1[int],false,176,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestAnnotationJsonProperty.java,com.jsoniter.TestAnnotationJsonProperty$TestObject10,getField/0,false,156,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestAnnotationJsonProperty.java,com.jsoniter.TestAnnotationJsonProperty$TestObject10,TestObject10/1[int],true,152,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestReadAny.java,com.jsoniter.TestReadAny,(initializer 1),false,17,0,15,0,15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestReadAny.java,com.jsoniter.TestReadAny,test_read_multiple_field/0,false,149,2,2,0,2,1,3,10,0,1,0,3,0,0,0,0,0,0,8,6,2,0,0,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestReadAny.java,com.jsoniter.TestReadAny,test_read_any/0,false,21,2,3,0,3,1,4,4,0,1,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestReadAny.java,com.jsoniter.TestReadAny,test_get/0,false,99,2,6,0,6,1,7,8,0,0,0,7,0,0,0,0,0,0,9,4,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestReadAny.java,com.jsoniter.TestReadAny,test_read_int_array/0,false,64,2,3,0,3,1,4,6,0,2,0,4,0,0,0,0,0,0,1,4,2,0,0,0,0,0,14,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\json-iterator\java-master\src\test\java\com\jsoniter\TestReadAny.java,com.jsoniter.TestReadAny,test_size/0,false,122,2,2,0,2,1,3,6,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,7,1,0,false
