file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,getTitle/0,false,37,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,setTitle/1[java.lang.String],false,41,0,10,10,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,setFormat/1[com.structurizr.documentation.Format],false,67,1,5,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,setContent/1[java.lang.String],false,54,0,8,8,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,getFormat/0,false,63,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,DocumentationContent/0,true,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,getContent/0,false,50,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,getElementId/0,false,24,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,setElementId/1[java.lang.String],false,28,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_getParent_ReturnsNull/0,false,24,3,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_getCanonicalName_WhenNameContainsSlashAndDotCharacters/0,false,17,4,3,0,3,1,4,5,0,1,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,15,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_getCanonicalName/0,false,11,3,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_setLocation_SetsTheLocationToUnspecified_WhenNullIsPassed/0,false,91,3,3,0,3,1,4,5,0,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,17,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_removeTags_DoesNotRemoveRequiredTags/0,false,30,4,3,0,3,1,5,9,0,1,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,12,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_interactsWith_AddsARelationshipWhenTheDescriptionAndTechnologyAreSpecified/0,false,59,5,8,0,8,1,14,12,0,3,0,14,0,0,0,0,0,0,8,1,3,0,0,0,0,0,24,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_interactsWith_AddsARelationshipWhenTheDescriptionIsSpecified/0,false,43,5,8,0,8,1,14,12,0,3,0,14,0,0,0,0,0,0,6,1,3,0,0,0,0,0,23,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,test_interactsWith_AddsARelationshipWhenTheDescriptionAndTechnologyAndInteractionStyleAreSpecified/0,false,75,5,8,0,8,1,13,12,0,3,0,13,0,0,0,0,0,0,8,1,3,0,0,0,0,0,25,1,0,false
