file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,class,22,97,75,22,92,1,0,58,1231,0.9174129,0.0,0.0,67,7,53,1,0,13,66,0,58,0,28,0,0,28,0,0,0,0,32,405,59,4,5,0,11,0,62,109,50,70,3,0,1,0,362,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\gi\InstantGI.java,org.sunflow.core.gi.InstantGI$PointLightStore,innerclass,6,6,0,6,7,1,0,4,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,29,4,0,0,0,0,0,0,5,0,2,1,0,0,0,29,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\LightServer.java,org.sunflow.core.LightServer,class,22,26,4,22,99,1,0,63,160,0.8466387,0.0,0.0,28,1,0,5,0,23,23,0,1,2,17,0,0,17,0,0,0,0,46,357,39,8,34,1,15,41,50,96,22,61,3,1,2,0,125,0,8
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\Benchmark.java,org.sunflow.Benchmark,class,12,14,2,12,40,2,0,21,106,0.8382353,0.0,0.0,17,1,17,0,0,0,17,0,0,0,8,0,0,8,0,0,0,0,16,189,1,6,8,1,12,14,41,32,13,25,3,0,1,0,102,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\system\BenchmarkFramework.java,org.sunflow.system.BenchmarkFramework,class,3,4,1,3,12,1,0,13,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,17,49,1,5,4,0,5,8,10,21,8,13,2,0,0,0,35,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\filter\BlackmanHarrisFilter.java,org.sunflow.core.filter.BlackmanHarrisFilter,class,2,4,2,2,6,1,0,2,2,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,3,22,4,0,0,0,3,0,14,7,16,6,1,0,0,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\parser\TriParser.java,org.sunflow.core.parser.TriParser,class,8,9,1,8,7,1,0,21,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,48,3,4,0,1,1,12,23,19,18,11,2,0,0,0,40,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\Scene.java,org.sunflow.core.Scene,class,25,41,16,25,39,1,0,43,42,0.7875,0.0,0.0,16,0,12,0,0,4,16,0,0,0,15,0,0,15,0,0,0,0,21,164,13,2,12,0,3,26,21,54,7,26,3,0,0,0,216,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\SunflowGUI.java,SunflowGUI$Anonymous28,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,1,2,2,1,1,0,0,0,9,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\bucket\SpiralBucketOrder.java,org.sunflow.core.bucket.SpiralBucketOrder,class,2,3,1,2,7,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,40,1,2,1,0,10,0,18,17,36,9,3,0,0,0,16,1,0
