file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,correctShadingNormal/0,false,155,2,4,1,3,2,3,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,16,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,initCausticSamples/0,false,542,1,10,9,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,"traceReflection/2[org.sunflow.core.Ray,int]",false,566,3,5,4,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,"traceRefractionPhoton/2[org.sunflow.core.Ray,org.sunflow.image.Color]",false,636,4,3,1,2,2,2,8,0,0,2,2,0,0,0,0,0,0,0,3,3,3,1,0,0,0,23,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,"traceDiffusePhoton/2[org.sunflow.core.Ray,org.sunflow.image.Color]",false,653,4,9,7,2,2,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,getDepth/0,false,390,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,getRefractionDepth/0,false,420,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,"createDiffuseBounceState/3[org.sunflow.core.ShadingState,org.sunflow.core.Ray,int]",false,64,2,2,1,1,1,0,5,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,getInstance/0,false,252,1,26,26,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,"specularPhong/3[org.sunflow.image.Color,float,int]",false,769,6,18,2,16,9,17,32,2,16,3,17,3,1,2,1,0,10,0,17,20,23,3,0,0,0,60,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,"createGlossyBounceState/3[org.sunflow.core.ShadingState,org.sunflow.core.Ray,int]",false,70,2,2,1,1,1,0,7,1,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,8,8,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,getCameraToWorld/0,false,494,4,3,0,3,2,3,4,1,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,iterator/0,false,813,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,addSample/1[org.sunflow.core.LightSample],false,287,1,8,8,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,17,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\sunflow-0.07.2\sunflow-0.07.2\src\org\sunflow\core\ShadingState.java,org.sunflow.core.ShadingState,"createRefractionBounceState/3[org.sunflow.core.ShadingState,org.sunflow.core.Ray,int]",false,84,2,3,2,1,1,0,5,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,8,0,false
