file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\TLinkableAdapter.java,gnu.trove.TLinkableAdapter,class,1,6,5,1,4,1,2,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,41,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\TextReporter.java,gnu.trove.benchmark.TextReporter,class,2,3,1,2,6,1,0,3,0,0.0,0.0,0.0,5,0,3,0,0,2,5,0,0,0,1,0,0,0,0,1,0,0,1,26,0,1,0,0,0,7,1,3,1,3,1,0,0,0,16,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\THashSet.java,gnu.trove.THashSet,class,10,17,7,10,46,3,0,39,276,1.0,0.0,0.0,24,0,23,0,1,0,24,0,0,0,1,1,0,0,0,1,1,0,3,188,17,6,5,0,2,2,13,36,1,28,3,1,1,0,158,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\THashMap.java,gnu.trove.THashMap,class,11,25,14,11,75,14,0,45,379,0.7941177,0.0,0.0,34,0,30,1,3,0,33,0,0,0,2,1,0,0,1,1,1,0,3,449,27,9,21,1,5,2,22,59,3,45,3,1,7,0,207,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\MemoryUsage.java,gnu.trove.benchmark.MemoryUsage$Creator,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\TObjectHashingStrategy.java,gnu.trove.TObjectHashingStrategy,interface,1,10,9,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\Main.java,gnu.trove.benchmark.Main$Anonymous10,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,0,0,1,0,1,2,0,1,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\Main.java,gnu.trove.benchmark.Main$Anonymous11,anonymous,1,1,0,1,5,1,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,2,1,0,0,1,2,1,3,1,2,1,0,0,0,30,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\Main.java,gnu.trove.benchmark.Main$Anonymous12,anonymous,1,1,0,1,7,1,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,2,2,0,0,0,1,6,5,0,5,2,0,0,0,22,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\test\gnu\trove\O2PHashMapTest.java,gnu.trove.O2PHashMapTest$Anonymous1,anonymous,0,0,0,0,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,2,0,0,0,1,0,0,0,4,-1,0
