file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\TLinkableAdapter.java,gnu.trove.TLinkableAdapter,setPrevious/1[gnu.trove.TLinkable],false,70,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\TLinkableAdapter.java,gnu.trove.TLinkableAdapter,getNext/0,false,43,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\TLinkableAdapter.java,gnu.trove.TLinkableAdapter,getPrevious/0,false,52,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\TLinkableAdapter.java,gnu.trove.TLinkableAdapter,setNext/1[gnu.trove.TLinkable],false,61,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\TextReporter.java,gnu.trove.benchmark.TextReporter,TextReporter/1[java.io.PrintWriter],true,30,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\TextReporter.java,gnu.trove.benchmark.TextReporter,finish/0,false,50,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\TextReporter.java,gnu.trove.benchmark.TextReporter,start/0,false,39,0,0,0,0,2,2,10,0,2,0,2,0,0,1,0,0,0,5,1,2,1,1,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\TextReporter.java,gnu.trove.benchmark.TextReporter,report/1[gnu.trove.benchmark.Result],false,34,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\benchmark\TextReporter.java,gnu.trove.benchmark.TextReporter,TextReporter/0,true,26,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\trove-2.1.0\trove-2.1.0\src\gnu\trove\THashSet.java,gnu.trove.THashSet,writeExternal/1[java.io.ObjectOutput],false,375,2,2,0,2,2,4,9,0,1,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,13,1,0,false
