file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\client\DnsResolver.java,org.java_websocket.client.DnsResolver,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\framing\DataFrame.java,org.java_websocket.framing.DataFrame,class,2,9,7,2,2,2,3,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\client\WebSocketClient.java,org.java_websocket.client.WebSocketClient$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,class,17,19,2,17,162,4,0,145,1748,0.92871094,0.0,0.0,64,0,44,14,6,0,50,5,8,0,16,1,0,15,1,0,6,0,15,628,30,9,38,15,3,14,16,59,8,48,5,0,1,0,466,1025,6
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\client\WebSocketClient.java,org.java_websocket.client.WebSocketClient$WebsocketWriteThread,innerclass,2,2,0,2,10,1,0,15,4,0.5,0.0,0.0,4,0,1,2,0,1,2,0,0,0,1,0,0,1,0,0,1,0,4,45,0,2,1,3,0,1,2,3,1,2,2,0,0,0,36,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\drafts\Draft.java,org.java_websocket.drafts.Draft,class,25,38,13,25,61,1,1,53,394,0.9137931,0.0,0.0,29,5,25,2,1,1,27,12,0,0,2,0,0,0,2,0,0,0,18,205,19,3,16,2,3,31,32,34,5,23,2,0,0,0,184,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer$WebSocketWorker,innerclass,3,3,0,3,10,2,0,16,0,0.25,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,56,0,1,2,2,1,4,0,7,1,5,2,1,0,0,60,1,3
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\extensions\DefaultExtension.java,org.java_websocket.extensions.DefaultExtension,class,4,7,3,4,18,1,1,6,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,37,8,0,3,0,0,5,0,0,1,0,1,0,0,0,51,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\framing\PongFrame.java,org.java_websocket.framing.PongFrame,class,3,5,2,3,2,3,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\exceptions\LimitExceededException.java,org.java_websocket.exceptions.LimitExceededException,class,1,3,2,1,5,4,0,0,4,0.7,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,21,1,0,0,0,0,0,1,3,0,2,0,0,0,0,48,1,0
