file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\client\DnsResolver.java,org.java_websocket.client.DnsResolver,resolve/1[java.net.URI],false,39,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\framing\DataFrame.java,org.java_websocket.framing.DataFrame,isValid/0,false,46,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\framing\DataFrame.java,org.java_websocket.framing.DataFrame,DataFrame/1[org.java_websocket.enums.Opcode],true,41,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\client\WebSocketClient.java,org.java_websocket.client.WebSocketClient$Anonymous1,resolve/1[java.net.URI],false,223,0,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,doEnsureSingleThread/0,false,587,0,1,1,0,3,4,12,2,0,0,4,0,0,0,1,0,0,1,0,1,1,2,0,0,0,27,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,doWrite/1[java.nio.channels.SelectionKey],false,543,3,4,1,3,4,5,11,0,1,1,5,0,0,0,0,1,0,0,0,1,0,2,0,0,0,27,2,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,"handleIOException/3[java.nio.channels.SelectionKey,org.java_websocket.WebSocket,java.io.IOException]",false,664,1,4,3,1,7,7,19,0,1,3,7,0,0,0,4,1,0,1,0,1,0,3,0,0,0,17,2,1,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,getPort/0,false,321,1,1,0,1,3,4,7,1,1,0,4,1,1,0,2,0,0,0,1,2,0,1,0,0,0,12,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,"onCloseInitiated/3[org.java_websocket.WebSocket,int,java.lang.String]",false,819,1,1,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\1\Java-WebSocket-master\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,WebSocketServer/1[java.net.InetSocketAddress],true,148,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
