file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\impl\dv\xs\QNameDV.java,org.apache.xerces.impl.dv.xs.QNameDV$XQName,innerclass,4,4,0,4,6,2,0,1,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,2,0,0,0,0,1,0,1,1,0,0,0,34,26,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,class,11,16,5,11,55,5,2,23,57,0.8,0.0,0.0,15,0,8,1,5,1,14,0,0,0,5,2,0,0,2,3,2,0,8,158,12,0,14,0,8,15,10,23,2,16,4,0,0,0,156,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\util\SoftReferenceSymbolTable.java,org.apache.xerces.util.SoftReferenceSymbolTable$SREntryData,innerclass,1,1,0,1,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,1,14,0,0,0,0,0,0,3,4,0,2,0,0,0,0,9,28,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\impl\XMLDocumentScannerImpl.java,org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher,innerclass,3,3,0,3,22,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110,7,1,2,1,0,10,2,7,0,2,4,0,0,0,81,20,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\util\ErrorHandlerWrapper.java,org.apache.xerces.util.ErrorHandlerWrapper$Anonymous1,anonymous,0,0,0,0,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,1,0,0,0,0,0,0,0,19,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom3\as\ASObject.java,org.apache.xerces.dom3.as.ASObject,interface,2,12,10,2,12,1,0,0,66,1.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,6,6,0,0,0,6,0,0,20,0,0,0,0,0,0,6,6,0,6,0,0,0,0,96,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\samples\dom\DOM3.java,dom.DOM3,class,13,14,1,13,10,1,0,20,15,0.9583333,0.0,0.0,6,2,5,1,0,0,5,0,0,0,4,4,0,0,3,1,3,0,2,69,4,0,3,1,0,23,4,15,3,13,1,0,0,0,88,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\parsers\XML11DTDConfiguration.java,org.apache.xerces.parsers.XML11DTDConfiguration,class,41,42,1,41,134,2,0,68,459,0.9414285,0.0,0.0,35,0,23,1,11,0,34,0,0,0,60,24,0,1,59,0,24,0,1,576,17,11,41,6,0,2,11,138,25,103,4,0,0,0,324,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\xs\datatypes\XSQName.java,org.apache.xerces.xs.datatypes.XSQName,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\AttrNSImpl.java,org.apache.xerces.dom.AttrNSImpl,class,7,13,6,7,49,3,2,20,42,0.81538457,0.0,0.0,13,0,9,1,2,1,12,0,0,0,5,3,0,0,2,3,3,0,8,143,11,0,12,0,6,15,10,24,2,17,4,0,0,0,149,1,0
