file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\impl\dv\xs\QNameDV.java,org.apache.xerces.impl.dv.xs.QNameDV$XQName,getJAXPQName/0,false,102,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\impl\dv\xs\QNameDV.java,org.apache.xerces.impl.dv.xs.QNameDV$XQName,getXNIQName/0,false,105,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\impl\dv\xs\QNameDV.java,org.apache.xerces.impl.dv.xs.QNameDV$XQName,toString/0,false,99,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\impl\dv\xs\QNameDV.java,org.apache.xerces.impl.dv.xs.QNameDV$XQName,equals/1[java.lang.Object],false,91,1,0,0,0,2,0,7,2,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,15,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\impl\dv\xs\QNameDV.java,org.apache.xerces.impl.dv.xs.QNameDV$XQName,"XQName/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,86,0,1,1,0,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,"ElementNSImpl/4[org.apache.xerces.dom.CoreDocumentImpl,java.lang.String,java.lang.String,java.lang.String]",true,162,1,1,1,0,1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,setPrefix/1[java.lang.String],false,256,5,6,0,6,13,9,33,0,4,1,9,0,0,0,5,0,0,6,3,6,1,4,0,0,0,66,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,"setName/2[java.lang.String,java.lang.String]",false,82,3,6,2,4,16,10,39,0,6,2,10,0,0,0,6,0,4,6,4,10,1,3,0,0,0,17,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,"ElementNSImpl/2[org.apache.xerces.dom.CoreDocumentImpl,java.lang.String]",true,171,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,getXMLBaseAttribute/0,false,311,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,getTypeName/0,false,318,3,1,0,1,4,2,11,3,0,0,2,0,0,0,1,0,2,0,0,0,0,2,0,0,0,10,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,ElementNSImpl/0,true,67,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,getLocalName/0,false,300,2,2,0,2,2,2,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xerces-2.10.0\xerces-2.10.0\src\org\apache\xerces\dom\ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,"isDerivedFrom/3[java.lang.String,java.lang.String,int]",false,355,5,3,0,3,5,4,14,3,0,3,4,0,0,0,1,0,2,0,0,0,0,2,0,0,0,47,1,0,true
