file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\mbeans\standard\CartMBean.java,tutorials.mbeans.standard.CartMBean,interface,0,1,1,0,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\notification\src\examples\mbeans\standard\NotifReceiverMBean.java,examples.mbeans.standard.NotifReceiverMBean,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\model\src\examples\applications\server\ServerInfo.java,ServerInfo,class,2,2,0,2,16,1,0,7,10,0.76923084,0.0,0.0,13,0,13,0,0,0,13,0,0,0,8,0,0,8,0,0,0,0,0,76,10,0,2,0,1,9,3,19,4,8,1,0,0,0,41,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\notification\src\examples\agent\NotifListener.java,examples.agent.NotifListener,class,2,3,1,2,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,4,0,0,0,0,0,18,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\standard\src\examples\mbeans\standard\ServerInfo.java,examples.mbeans.standard.ServerInfo,class,2,4,2,2,12,1,0,3,0,0.575,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,49,4,0,0,0,1,6,3,13,2,4,1,0,0,0,31,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\dynamic\src\examples\applications\server\ServerInfo.java,examples.applications.server.ServerInfo,class,1,5,4,1,16,1,0,7,10,0.76923084,0.0,0.0,13,0,13,0,0,0,13,0,0,0,8,0,0,8,0,0,0,0,1,76,10,0,2,0,1,9,3,19,4,8,1,0,0,0,41,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\dynamic\src\examples\mbeans\dynamic\DynamicServerInfo.java,examples.mbeans.dynamic.DynamicServerInfo,class,17,20,3,17,75,2,1,33,8,0.7916667,0.0,0.0,16,2,16,0,0,0,16,0,0,0,9,1,0,2,0,7,0,0,1,268,14,3,3,6,1,119,31,64,8,27,4,0,0,0,134,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\dynamic\src\examples\agent\RunDynamicAgent.java,examples.agent.RunDynamicAgent,class,11,12,1,11,14,1,0,17,8,0.796875,0.0,0.0,8,1,2,6,0,0,2,0,0,0,8,0,0,6,0,2,0,0,4,93,0,0,0,6,0,18,2,18,0,11,1,0,0,0,97,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\mbeans\standard\Cart.java,tutorials.mbeans.standard.Cart,class,3,4,1,3,13,1,0,8,0,0.7142857,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,6,39,4,0,6,0,0,7,0,10,1,4,1,0,0,0,23,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\dynamic\src\examples\mbeans\dynamic\DynamicLogConfig.java,examples.mbeans.dynamic.DynamicLogConfig,class,13,15,2,13,103,1,0,30,0,0.84911245,0.0,0.0,26,2,26,0,0,0,26,0,0,0,13,1,0,6,0,7,0,0,1,345,18,3,2,6,5,155,31,74,19,28,5,0,0,0,134,1,0
